customer_id,plan_type,churn_status,risk_score,monthly_revenue,days_since_last_login,engagement_bucket,usage_bucket,support_bucket,payment_history,customer_satisfaction_score
66,Basic,Active,1,26.00,9,High,Medium,Low,On-Time,10
67,Enterprise,Active,4,150.00,6,Medium,Medium,Low,Delayed,10
68,Pro,Active,2,68.00,21,High,Medium,Low,On-Time,9
69,Basic,Active,1,13.00,13,High,Medium,Low,On-Time,9
70,Pro,Churned,9,79.00,74,Low,Low,Low,Delayed,7
71,Basic,Churned,10,28.00,62,Low,Medium,Low,Missed,4
72,Pro,Active,1,58.00,8,High,High,Medium,On-Time,8
73,Basic,Churned,11,17.00,115,Low,Low,Low,Delayed,4
74,Basic,Active,2,21.00,0,High,Medium,Medium,On-Time,9
75,Basic,Active,1,22.00,4,Medium,High,Low,On-Time,10
76,Basic,"At Risk",6,22.00,35,High,High,High,Delayed,9
77,Pro,Active,3,77.00,35,Medium,High,Low,On-Time,10
78,Basic,Active,0,24.00,0,High,High,Low,On-Time,10
79,Basic,Active,2,21.00,14,High,Medium,Medium,On-Time,9
80,Basic,Active,4,17.00,33,Medium,Medium,Low,On-Time,10
81,Basic,Active,3,13.00,26,High,Medium,Medium,On-Time,10
82,Enterprise,Active,3,254.00,31,High,Medium,Low,On-Time,10
83,Enterprise,Active,3,187.00,34,High,High,Medium,On-Time,7
84,Pro,Active,1,66.00,15,High,High,Low,On-Time,7
85,Pro,Churned,14,53.00,203,Low,Low,Medium,Delayed,2
86,Basic,Churned,12,28.00,219,Low,Low,Low,Missed,4
87,Basic,Active,2,21.00,25,High,Medium,Low,On-Time,9
88,Basic,"At Risk",7,23.00,54,Medium,Low,Medium,On-Time,4
89,Basic,Active,0,14.00,6,High,High,Low,On-Time,10
90,Basic,Active,2,19.00,7,Medium,High,Medium,On-Time,10
91,Basic,"At Risk",5,15.00,42,Medium,Medium,Medium,On-Time,7
92,Basic,Active,2,25.00,0,High,Medium,Medium,On-Time,9
93,Pro,Active,2,64.00,28,High,Medium,Low,On-Time,8
94,Basic,Active,2,23.00,27,Medium,High,Low,On-Time,8
95,Basic,Churned,10,19.00,91,Medium,Low,Medium,Delayed,7
96,Basic,Churned,10,27.00,101,Medium,Low,High,On-Time,4
97,Basic,Churned,10,25.00,88,Medium,Low,Medium,Delayed,4
98,Basic,Active,4,11.00,14,Medium,High,Medium,Delayed,7
99,Pro,Active,4,70.00,17,Medium,Medium,Medium,On-Time,9
100,Basic,Active,3,19.00,11,High,High,Medium,Delayed,9
101,Basic,Active,3,14.00,0,High,Medium,High,On-Time,10
102,Basic,Active,1,12.00,16,High,High,Low,On-Time,8
103,Pro,Churned,11,67.00,99,Low,Low,Low,Delayed,6
104,Basic,"At Risk",5,14.00,21,Medium,Medium,High,On-Time,9
105,Pro,Churned,11,72.00,93,Low,Medium,Low,Missed,5
106,Basic,Active,3,20.00,16,High,Medium,Medium,On-Time,10
107,Basic,Active,3,27.00,27,Medium,High,Medium,On-Time,8
108,Enterprise,Active,4,182.00,33,High,Medium,Medium,On-Time,8
109,Basic,"At Risk",5,28.00,36,High,High,Medium,Delayed,9
110,Pro,Active,4,42.00,32,Medium,Medium,Low,On-Time,7
111,Pro,Active,4,64.00,27,High,High,Medium,Delayed,9
112,Basic,Active,2,26.00,8,High,Medium,Medium,On-Time,10
113,Basic,"At Risk",5,17.00,40,High,Medium,High,On-Time,10
114,Basic,Active,3,14.00,37,Medium,High,Low,On-Time,8
115,Enterprise,Churned,10,242.00,62,Low,Medium,Low,Missed,6
116,Pro,Active,3,71.00,4,High,Medium,Low,Delayed,8
117,Enterprise,Churned,12,172.00,102,Low,Low,Medium,Delayed,5
118,Basic,Churned,9,25.00,91,Low,Low,Low,On-Time,6
119,Pro,Churned,9,65.00,111,Medium,Medium,Low,Delayed,4
120,Basic,Active,0,10.00,10,High,High,Low,On-Time,8
121,Basic,Active,2,22.00,8,High,Medium,Medium,On-Time,7
122,Enterprise,Active,1,221.00,9,Medium,High,Low,On-Time,7
123,Basic,Active,3,12.00,37,Medium,High,Low,On-Time,7
124,Basic,Churned,10,27.00,119,Medium,Low,Medium,Delayed,7
125,Basic,"At Risk",6,23.00,38,Medium,Medium,Low,Delayed,9
126,Basic,Active,4,19.00,33,High,High,Low,Delayed,8
127,Basic,Active,4,12.00,20,Medium,Medium,Medium,On-Time,8
128,Basic,Active,3,12.00,21,High,Medium,Medium,On-Time,10
129,Basic,"At Risk",5,22.00,37,Medium,Medium,Medium,On-Time,8
130,Basic,"At Risk",5,18.00,55,Medium,Medium,Low,On-Time,6
131,Basic,Churned,11,13.00,234,Low,Low,Low,Delayed,4
132,Basic,Active,3,19.00,23,Medium,High,Medium,On-Time,10
133,Basic,Active,3,19.00,34,Medium,High,Low,On-Time,9
134,Basic,Active,3,25.00,21,High,Medium,Medium,On-Time,9
135,Basic,"At Risk",5,29.00,36,Medium,High,High,On-Time,7
136,Basic,Active,4,22.00,42,Medium,Medium,Low,On-Time,7
137,Enterprise,Active,1,143.00,7,Medium,High,Low,On-Time,10
138,Basic,"At Risk",8,10.00,55,Low,Low,Medium,On-Time,4
139,Basic,Active,2,18.00,30,High,Medium,Low,On-Time,9
140,Pro,Active,2,51.00,5,High,High,High,On-Time,9
141,Enterprise,Active,4,253.00,41,High,High,Low,Delayed,8
142,Basic,Active,2,24.00,25,Medium,High,Low,On-Time,8
143,Basic,Churned,9,18.00,53,Medium,Medium,High,Delayed,4
144,Basic,Active,2,27.00,13,Medium,Medium,Low,On-Time,7
145,Basic,Churned,10,29.00,94,Low,Low,High,On-Time,7
146,Pro,Active,2,41.00,20,High,Medium,Low,On-Time,8
147,Basic,"At Risk",5,10.00,26,High,High,High,Delayed,10
148,Pro,"At Risk",5,73.00,43,Medium,High,Low,Delayed,8
149,Pro,Active,2,66.00,17,Medium,High,Low,On-Time,7
150,Basic,Active,1,19.00,0,High,Medium,Low,On-Time,10
151,Basic,Active,3,17.00,43,High,Medium,Low,On-Time,8
152,Pro,Active,4,61.00,38,Medium,Medium,Low,On-Time,8
153,Basic,Active,3,16.00,21,Medium,Medium,Low,On-Time,10
154,Basic,Churned,11,18.00,96,Medium,Medium,Medium,Missed,6
155,Pro,Active,3,72.00,16,High,Medium,Medium,On-Time,7
156,Enterprise,Churned,10,264.00,52,Medium,Low,Medium,Missed,5
157,Pro,Active,3,72.00,14,Medium,Medium,Medium,On-Time,10
158,Basic,Active,2,15.00,17,High,Medium,Low,On-Time,7
159,Basic,Active,2,18.00,14,Medium,Medium,Low,On-Time,8
160,Pro,Active,2,69.00,41,High,High,Low,On-Time,7
161,Enterprise,Active,3,200.00,20,Medium,Medium,Low,On-Time,7
162,Basic,"At Risk",6,19.00,44,Medium,High,Medium,Delayed,7
163,Basic,Active,4,17.00,19,Medium,Medium,Medium,On-Time,8
164,Basic,Active,4,10.00,19,High,High,Medium,Delayed,7
165,Pro,Churned,16,72.00,293,Low,Low,High,Missed,1
166,Enterprise,Active,4,196.00,31,High,Medium,Medium,On-Time,8
167,Basic,Churned,13,23.00,91,Low,Low,High,Delayed,4
168,Basic,Active,0,23.00,14,High,High,Low,On-Time,8
169,Basic,"At Risk",5,18.00,35,High,Medium,High,On-Time,10
170,Pro,Active,3,69.00,44,High,Medium,Low,On-Time,9
171,Basic,Active,2,16.00,31,High,High,Low,On-Time,9
172,Basic,Active,4,28.00,21,Medium,Medium,Medium,On-Time,8
173,Basic,Active,1,23.00,7,High,Medium,Low,On-Time,10
174,Basic,Active,3,28.00,38,Medium,High,Low,On-Time,10
175,Basic,Churned,14,26.00,196,Low,Low,Low,Missed,1
176,Basic,"At Risk",6,22.00,18,Medium,Medium,Medium,Delayed,8
177,Basic,Active,2,11.00,0,High,High,High,On-Time,7
178,Pro,Active,2,68.00,40,High,High,Low,On-Time,9
179,Pro,Churned,14,62.00,297,Low,Low,High,Missed,5
180,Basic,Active,3,18.00,7,High,High,Medium,Delayed,10
181,Basic,Active,0,25.00,6,High,High,Low,On-Time,9
182,Basic,Active,2,12.00,13,Medium,High,Medium,On-Time,9
183,Basic,Active,3,19.00,9,Medium,High,High,On-Time,8
184,Basic,Active,3,19.00,3,Medium,Medium,Medium,On-Time,7
185,Basic,Active,3,18.00,26,High,High,Low,Delayed,8
186,Basic,Active,3,27.00,34,High,Medium,Low,On-Time,10
187,Enterprise,Active,2,225.00,13,High,Medium,Medium,On-Time,10
188,Basic,Churned,10,15.00,109,Low,Low,Medium,On-Time,6
189,Pro,Churned,11,78.00,101,Medium,Low,Low,Missed,5
190,Pro,Active,2,41.00,16,Medium,High,Low,On-Time,10
191,Pro,Active,4,48.00,34,Medium,High,Medium,On-Time,8
192,Basic,Churned,9,15.00,83,Medium,Low,Low,Delayed,5
193,Basic,Active,3,15.00,26,High,Medium,Medium,On-Time,8
194,Basic,Active,4,28.00,31,Medium,High,Medium,On-Time,8
195,Pro,Churned,10,50.00,73,Low,Low,Low,Delayed,5
196,Pro,Active,3,78.00,17,Medium,Medium,Low,On-Time,7
197,Basic,Active,2,18.00,14,High,High,High,On-Time,8
198,Pro,Churned,9,51.00,111,Medium,Medium,Medium,Delayed,7
199,Basic,Active,3,17.00,31,High,High,Medium,On-Time,9
200,Basic,Active,2,11.00,14,Medium,High,Medium,On-Time,9
201,Basic,Active,1,29.00,14,High,Medium,Low,On-Time,8
202,Basic,Active,3,19.00,2,Medium,Medium,Medium,On-Time,8
203,Basic,"At Risk",6,13.00,80,Medium,Medium,Medium,On-Time,7
204,Basic,Churned,9,20.00,96,Medium,Medium,Low,Delayed,6
205,Basic,Churned,14,22.00,248,Low,Low,Low,Missed,3
206,Basic,Active,2,13.00,25,High,Medium,Low,On-Time,8
207,Basic,Active,1,11.00,4,High,Medium,Low,On-Time,7
208,Pro,"At Risk",5,51.00,22,High,High,High,Delayed,9
209,Basic,Active,1,18.00,19,High,High,Low,On-Time,7
210,Basic,Active,3,24.00,22,Medium,Medium,Low,On-Time,8
211,Pro,"At Risk",5,55.00,20,High,Medium,Medium,Delayed,10
212,Pro,Churned,9,45.00,99,Medium,Low,Medium,On-Time,4
213,Pro,"At Risk",5,60.00,23,High,Medium,Medium,Delayed,7
214,Pro,Churned,12,61.00,147,Low,Low,Medium,Delayed,5
215,Enterprise,Active,2,243.00,30,High,Medium,Low,On-Time,10
216,Basic,Churned,11,17.00,95,Medium,Medium,High,Delayed,5
217,Basic,Active,4,12.00,35,Medium,Medium,Low,On-Time,7
218,Basic,Active,1,11.00,9,Medium,High,Low,On-Time,7
219,Basic,Active,3,28.00,26,Medium,Medium,Low,On-Time,9
220,Basic,Active,4,15.00,6,Medium,High,Medium,Delayed,7
221,Basic,Active,3,12.00,40,Medium,High,Low,On-Time,10
222,Pro,Churned,12,61.00,105,Low,Low,Low,Missed,6
223,Basic,Active,4,12.00,33,Medium,Medium,Low,On-Time,7
224,Pro,Churned,11,70.00,225,Low,Low,Low,Delayed,4
225,Basic,"At Risk",7,12.00,70,Medium,Low,Low,On-Time,5
226,Basic,"At Risk",5,15.00,59,Medium,Medium,Low,On-Time,5
227,Pro,Active,2,54.00,34,High,High,Low,On-Time,8
228,Basic,Active,1,24.00,25,High,High,Low,On-Time,7
229,Basic,Active,3,19.00,38,High,Medium,Low,On-Time,9
230,Basic,Churned,12,13.00,139,Low,Low,Medium,Delayed,5
231,Pro,Active,3,43.00,22,Medium,Medium,Low,On-Time,8
232,Basic,Active,2,24.00,26,High,Medium,Low,On-Time,10
233,Pro,Active,4,64.00,26,High,High,Medium,Delayed,7
234,Pro,Churned,13,43.00,102,Low,Low,High,Delayed,5
235,Basic,Churned,12,16.00,89,Low,Low,Medium,Missed,5
236,Basic,Active,1,23.00,20,High,High,Low,On-Time,8
237,Basic,Active,4,21.00,36,Medium,High,Medium,On-Time,10
238,Basic,Active,1,26.00,2,High,Medium,Low,On-Time,9
239,Pro,Active,1,49.00,18,High,High,Low,On-Time,8
240,Basic,Active,3,16.00,40,High,Medium,Low,On-Time,10
241,Basic,"At Risk",6,24.00,51,Medium,Medium,High,On-Time,7
242,Pro,Active,3,43.00,32,High,High,Medium,On-Time,7
243,Basic,Active,3,13.00,15,Medium,Medium,Low,On-Time,7
244,Enterprise,"At Risk",7,225.00,43,Medium,High,High,Delayed,9
245,Basic,Active,2,19.00,3,Medium,Medium,Low,On-Time,10
246,Pro,Churned,10,59.00,66,Low,Medium,Low,Missed,5
247,Basic,Active,4,21.00,12,High,Medium,Medium,Delayed,8
248,Pro,"At Risk",7,74.00,51,Medium,Low,Medium,On-Time,4
249,Basic,Active,2,14.00,43,High,High,Low,On-Time,7
250,Pro,Churned,14,50.00,195,Low,Low,Low,Missed,2
251,Pro,Active,4,69.00,22,Medium,High,Low,Delayed,9
252,Basic,Active,1,13.00,14,High,High,Medium,On-Time,9
253,Basic,Active,2,15.00,33,High,High,Low,On-Time,7
254,Pro,"At Risk",6,75.00,31,High,Medium,Medium,Delayed,9
255,Basic,Active,3,11.00,32,Medium,High,Low,On-Time,8
256,Basic,Churned,13,20.00,122,Low,Low,Low,Delayed,3
257,Basic,Active,1,22.00,2,Medium,High,Low,On-Time,8
258,Pro,"At Risk",8,74.00,32,Medium,Medium,High,Delayed,7
259,Basic,Active,4,11.00,36,Medium,High,Medium,On-Time,7
260,Pro,Active,2,77.00,18,High,High,Medium,On-Time,9
261,Basic,Active,1,22.00,6,High,High,Medium,On-Time,10
262,Basic,Active,4,10.00,36,High,High,High,On-Time,10
263,Basic,Active,3,12.00,26,Medium,Medium,Low,On-Time,8
264,Basic,Active,4,28.00,26,Medium,Medium,Medium,On-Time,7
265,Basic,"At Risk",8,22.00,109,Medium,Medium,Medium,On-Time,6
266,Basic,Active,3,10.00,15,High,Medium,Medium,On-Time,8
267,Pro,"At Risk",5,50.00,43,High,Medium,High,On-Time,7
268,Basic,Churned,13,23.00,160,Low,Low,Medium,Missed,5
269,Basic,"At Risk",5,25.00,43,High,High,Medium,Delayed,8
270,Basic,Churned,11,26.00,112,Low,Low,Low,Delayed,5
271,Basic,Active,2,16.00,5,Medium,Medium,Low,On-Time,9
272,Basic,Active,2,18.00,25,High,Medium,Low,On-Time,7
273,Basic,"At Risk",7,28.00,44,High,Medium,High,Delayed,9
274,Enterprise,Active,3,184.00,38,Medium,High,Low,On-Time,8
275,Basic,"At Risk",5,15.00,44,High,High,Medium,Delayed,8
276,Pro,Active,1,40.00,2,High,Medium,Low,On-Time,8
277,Pro,Churned,10,73.00,99,Low,Medium,Medium,Delayed,7
278,Basic,"At Risk",8,12.00,106,Medium,Low,Low,On-Time,6
279,Pro,Active,4,76.00,1,Medium,High,Medium,Delayed,7
280,Basic,Churned,11,20.00,116,Medium,Low,Medium,Missed,7
281,Basic,Active,2,12.00,37,High,High,Low,On-Time,10
282,Pro,Active,3,49.00,16,High,Medium,Medium,On-Time,8
283,Pro,"At Risk",7,53.00,73,Low,Medium,Low,On-Time,6
284,Basic,Churned,11,15.00,88,Medium,Low,Medium,Missed,5
285,Basic,Active,2,23.00,39,High,High,Low,On-Time,9
286,Pro,Active,4,62.00,27,Medium,Medium,Medium,On-Time,10
287,Basic,Active,1,25.00,28,High,High,Low,On-Time,7
288,Pro,Active,4,45.00,36,High,High,Low,Delayed,8
289,Basic,Active,2,16.00,39,High,High,Low,On-Time,10
290,Basic,Churned,11,28.00,108,Medium,Low,Medium,Delayed,4
291,Basic,Active,2,20.00,25,High,High,Medium,On-Time,10
292,Basic,Active,4,28.00,17,High,Medium,Low,Delayed,10
293,Pro,Churned,11,63.00,107,Medium,Medium,High,Delayed,6
294,Pro,Active,3,52.00,36,Medium,High,Low,On-Time,10
295,Basic,Active,3,10.00,39,Medium,High,Low,On-Time,9
296,Pro,Active,4,75.00,21,Medium,High,Low,Delayed,7
297,Pro,Active,1,52.00,17,High,High,Low,On-Time,9
298,Basic,Churned,13,11.00,222,Low,Low,Low,Delayed,1
299,Pro,Active,2,71.00,36,High,High,Low,On-Time,9
300,Pro,Churned,13,57.00,218,Low,Low,Low,Delayed,3
301,Basic,Active,4,15.00,33,High,High,High,On-Time,7
302,Basic,Active,1,16.00,8,High,Medium,Low,On-Time,10
303,Basic,Active,3,17.00,22,Medium,Medium,Low,On-Time,10
304,Pro,"At Risk",5,68.00,42,High,Medium,Low,Delayed,7
305,Basic,Churned,11,21.00,82,Low,Low,Low,Missed,6
306,Basic,Active,3,27.00,37,High,Medium,Low,On-Time,10
307,Pro,Active,4,70.00,30,Medium,Medium,Medium,On-Time,10
308,Pro,Churned,15,71.00,279,Low,Low,Medium,Missed,2
309,Enterprise,Active,1,292.00,9,Medium,High,Low,On-Time,10
310,Pro,Churned,9,60.00,47,Low,Low,Low,Delayed,6
311,Pro,"At Risk",6,42.00,43,High,Medium,Medium,Delayed,10
312,Basic,Churned,13,28.00,250,Low,Low,Medium,Missed,4
313,Basic,Active,2,21.00,0,Medium,Medium,Low,On-Time,9
314,Basic,Active,2,25.00,38,High,High,Low,On-Time,8
315,Basic,Churned,13,25.00,199,Low,Low,Medium,Missed,4
316,Pro,Active,2,54.00,7,Medium,High,Medium,On-Time,9
317,Pro,Active,3,52.00,12,High,Medium,High,On-Time,7
318,Basic,Active,2,23.00,23,High,Medium,Low,On-Time,10
319,Basic,Active,4,23.00,31,High,Medium,Medium,On-Time,9
320,Basic,Churned,14,15.00,216,Low,Low,Low,Missed,3
321,Basic,Churned,15,18.00,252,Low,Low,Medium,Missed,2
322,Enterprise,Active,2,154.00,34,High,High,Low,On-Time,9
323,Basic,Churned,9,21.00,70,Medium,Low,Low,Delayed,4
324,Pro,Active,2,40.00,2,High,Medium,Medium,On-Time,10
325,Basic,Active,4,10.00,25,Medium,Medium,Medium,On-Time,10
326,Pro,Active,2,71.00,5,High,High,Low,Delayed,9
327,Basic,"At Risk",7,17.00,37,Medium,Medium,Medium,Delayed,8
328,Basic,Active,4,21.00,44,Medium,Medium,Low,On-Time,10
329,Enterprise,Active,3,214.00,36,High,High,Medium,On-Time,7
330,Basic,Active,1,17.00,18,High,High,Low,On-Time,8
331,Pro,Active,2,54.00,2,High,Medium,Medium,On-Time,10
332,Enterprise,Churned,10,283.00,119,Medium,Low,Medium,Delayed,7
333,Basic,Active,2,10.00,41,High,High,Low,On-Time,9
334,Basic,Active,1,11.00,20,High,High,Low,On-Time,7
335,Pro,Active,0,75.00,9,High,High,Low,On-Time,10
336,Enterprise,Churned,10,226.00,99,Medium,Low,Low,Delayed,6
337,Basic,Churned,9,10.00,48,Low,Medium,Low,Missed,6
338,Pro,Active,4,59.00,33,High,High,High,On-Time,9
339,Basic,Active,4,13.00,42,High,High,High,On-Time,8
340,Pro,Active,4,61.00,33,High,Medium,Medium,On-Time,9
341,Pro,Active,2,60.00,17,High,Medium,Low,On-Time,8
342,Basic,Active,4,11.00,6,Medium,Medium,High,On-Time,10
343,Basic,Active,4,27.00,40,Medium,High,Medium,On-Time,10
344,Basic,Churned,9,11.00,114,Medium,Medium,Low,Delayed,6
345,Pro,Active,3,63.00,18,Medium,Medium,Low,On-Time,10
346,Pro,Churned,11,69.00,76,Low,Low,Medium,Delayed,5
347,Pro,Active,1,77.00,23,High,High,Low,On-Time,10
348,Pro,"At Risk",8,73.00,65,Low,Low,Low,On-Time,6
349,Basic,Active,4,17.00,33,High,High,Low,Delayed,8
350,Basic,"At Risk",7,23.00,69,Medium,Low,Low,On-Time,5
351,Enterprise,Active,2,239.00,7,High,High,Low,Delayed,8
352,Basic,Active,2,25.00,26,High,Medium,Low,On-Time,10
353,Basic,"At Risk",5,12.00,41,Medium,High,High,On-Time,10
354,Basic,Active,2,17.00,8,High,Medium,Medium,On-Time,10
355,Pro,Active,3,47.00,32,High,Medium,Low,On-Time,9
356,Pro,Active,4,46.00,31,Medium,Medium,Low,On-Time,9
357,Basic,Active,2,11.00,7,High,Medium,Medium,On-Time,9
358,Basic,Active,3,14.00,42,High,Medium,Low,On-Time,8
359,Pro,Churned,13,53.00,123,Low,Low,Low,Delayed,2
360,Pro,Active,3,41.00,23,High,Medium,Medium,On-Time,8
361,Pro,Active,1,62.00,4,High,Medium,Low,On-Time,10
362,Pro,"At Risk",5,42.00,29,Medium,Medium,Low,Delayed,7
363,Basic,Active,2,27.00,2,High,High,High,On-Time,9
364,Pro,Churned,14,57.00,242,Low,Low,Low,Missed,3
365,Enterprise,"At Risk",5,214.00,40,High,High,Medium,Delayed,10
366,Basic,Active,1,23.00,2,Medium,High,Low,On-Time,7
367,Basic,"At Risk",6,12.00,28,Medium,High,High,Delayed,7
368,Basic,Active,1,21.00,1,High,High,Medium,On-Time,8
369,Basic,Active,4,10.00,22,Medium,High,High,On-Time,9
370,Basic,Churned,11,20.00,60,Medium,Low,Medium,Missed,6
371,Basic,Active,2,22.00,27,High,Medium,Low,On-Time,8
372,Pro,Active,3,78.00,6,High,Medium,High,On-Time,9
373,Basic,Active,3,10.00,42,High,High,Medium,On-Time,8
374,Enterprise,Active,3,234.00,42,High,High,Medium,On-Time,8
375,Pro,Active,3,69.00,43,High,Medium,Low,On-Time,7
376,Basic,Active,2,18.00,17,High,Medium,Low,On-Time,10
377,Basic,Active,4,10.00,31,High,Medium,Medium,On-Time,10
378,Pro,Active,3,53.00,33,Medium,High,Low,On-Time,8
379,Basic,Churned,12,16.00,57,Low,Low,High,Missed,6
380,Basic,Active,1,12.00,10,High,Medium,Low,On-Time,10
381,Pro,Churned,12,40.00,151,Low,Low,Medium,Delayed,5
382,Basic,Active,1,29.00,9,High,High,Medium,On-Time,7
383,Basic,"At Risk",8,10.00,57,Medium,Low,Low,Delayed,6
384,Basic,Churned,12,16.00,283,Low,Low,Low,Missed,4
385,Pro,Churned,13,56.00,235,Low,Low,Low,Delayed,3
386,Pro,Churned,13,48.00,271,Low,Low,Medium,Missed,4
387,Pro,Active,3,64.00,31,High,Medium,Low,On-Time,8
388,Basic,Active,4,27.00,18,Medium,High,High,On-Time,9
389,Pro,Active,3,42.00,33,High,High,Medium,On-Time,7
390,Pro,Active,3,67.00,2,Medium,Medium,Medium,On-Time,8
391,Enterprise,Active,2,256.00,2,High,High,High,On-Time,9
392,Basic,Active,1,10.00,4,High,Medium,Low,On-Time,10
393,Basic,Churned,11,27.00,71,Medium,Low,Medium,Missed,6
394,Basic,Active,4,26.00,29,Medium,Medium,Medium,On-Time,7
395,Pro,"At Risk",7,40.00,48,Low,Low,Low,On-Time,5
396,Basic,Churned,15,26.00,199,Low,Low,High,Delayed,2
397,Basic,"At Risk",5,11.00,36,High,High,Medium,Delayed,7
398,Basic,"At Risk",5,14.00,43,Medium,High,High,On-Time,7
399,Basic,Churned,10,21.00,57,Low,Medium,High,Missed,7
400,Basic,Active,3,28.00,37,High,Medium,Low,On-Time,10
401,Basic,"At Risk",8,18.00,86,Medium,Low,Medium,On-Time,4
402,Basic,Active,2,11.00,18,High,High,Medium,On-Time,10
403,Basic,Churned,12,26.00,63,Medium,Low,High,Missed,6
404,Basic,"At Risk",7,13.00,72,Low,Low,Low,On-Time,7
405,Basic,Active,1,20.00,21,High,High,Low,On-Time,8
406,Basic,Active,2,22.00,32,High,High,Low,On-Time,8
407,Pro,Active,2,59.00,6,Medium,Medium,Low,On-Time,10
408,Basic,Active,1,18.00,9,High,Medium,Low,On-Time,7
