signup_month,plan_type,churn_status,users,total_revenue,avg_revenue
2025-10-01,Basic,Churned,37,677.00,18.30
2023-04-01,Basic,Active,91,1806.00,19.85
2023-08-01,Pro,Active,62,3629.00,58.53
2023-12-01,Pro,Active,49,2980.00,60.82
2024-03-01,Pro,Churned,21,1315.00,62.62
2023-10-01,Pro,Active,61,3544.00,58.10
2025-06-01,Enterprise,Active,20,4113.00,205.65
2024-01-01,Basic,Active,92,1884.00,20.48
2024-08-01,Basic,Active,102,2054.00,20.14
2023-06-01,Enterprise,Active,17,3462.00,203.65
2025-12-01,Pro,Churned,21,1232.00,58.67
2023-01-01,Basic,Churned,36,740.00,20.56
2025-02-01,Basic,Active,88,1660.00,18.86
2025-03-01,Basic,"At Risk",24,484.00,20.17
2025-04-01,Pro,Active,66,3834.00,58.09
2025-08-01,Basic,Active,108,2091.00,19.36
2024-11-01,Enterprise,Active,22,4372.00,198.73
2023-12-01,Enterprise,Active,13,2588.00,199.08
2023-03-01,Pro,Active,54,3048.00,56.44
2023-12-01,Pro,Churned,23,1380.00,60.00
2025-03-01,Basic,Active,93,1697.00,18.25
2024-11-01,Basic,"At Risk",26,508.00,19.54
2023-05-01,Basic,"At Risk",19,372.00,19.58
2024-09-01,Basic,Active,89,1729.00,19.43
2024-06-01,Basic,Churned,35,709.00,20.26
2023-01-01,Pro,Active,56,3522.00,62.89
2024-11-01,Basic,Active,87,1727.00,19.85
2024-07-01,Basic,"At Risk",20,393.00,19.65
2025-09-01,Pro,Churned,34,1995.00,58.68
2023-09-01,Basic,Active,90,1701.00,18.90
2024-03-01,Basic,Active,109,2140.00,19.63
2025-04-01,Enterprise,Active,12,2508.00,209.00
2023-09-01,Basic,"At Risk",29,614.00,21.17
2023-11-01,Pro,Active,56,3365.00,60.09
2025-10-01,Basic,"At Risk",22,460.00,20.91
2024-11-01,Enterprise,Churned,6,1474.00,245.67
2025-08-01,Pro,Active,56,3338.00,59.61
2025-05-01,Enterprise,Churned,7,1631.00,233.00
2025-09-01,Enterprise,Active,16,3433.00,214.56
2023-12-01,Basic,Active,94,1900.00,20.21
2023-05-01,Basic,Churned,43,840.00,19.53
2025-07-01,Basic,Active,91,1715.00,18.85
2023-01-01,Basic,"At Risk",23,424.00,18.43
2024-04-01,Basic,Churned,36,722.00,20.06
2024-07-01,Enterprise,Active,23,5000.00,217.39
2025-02-01,Basic,"At Risk",21,403.00,19.19
2025-11-01,Enterprise,Active,23,4486.00,195.04
2023-10-01,Basic,Active,106,2004.00,18.91
2023-09-01,Pro,Active,51,3085.00,60.49
2025-12-01,Pro,Active,45,2602.00,57.82
2023-09-01,Enterprise,Churned,11,2373.00,215.73
2025-04-01,Basic,Active,87,1642.00,18.87
2024-02-01,Enterprise,Active,18,3358.00,186.56
2023-04-01,Pro,Churned,24,1474.00,61.42
2025-07-01,Enterprise,Active,23,4516.00,196.35
2023-07-01,Basic,Active,99,1884.00,19.03
2023-02-01,Basic,"At Risk",24,454.00,18.92
2024-10-01,Pro,Active,56,3300.00,58.93
2025-01-01,Basic,Active,102,1864.00,18.27
2024-12-01,Basic,Churned,46,932.00,20.26
2023-07-01,Basic,"At Risk",16,279.00,17.44
2024-02-01,Pro,Active,59,3450.00,58.47
2025-10-01,Pro,Churned,28,1682.00,60.07
2024-12-01,Basic,Active,93,1826.00,19.63
2024-08-01,Basic,Churned,36,672.00,18.67
2024-08-01,Pro,Churned,19,1136.00,59.79
2025-09-01,Basic,Churned,36,725.00,20.14
2024-01-01,Pro,Churned,25,1414.00,56.56
2024-01-01,Pro,Active,70,4161.00,59.44
2025-05-01,Basic,Active,82,1615.00,19.70
2023-06-01,Basic,"At Risk",23,477.00,20.74
2024-10-01,Basic,Churned,38,767.00,20.18
2024-12-01,Pro,"At Risk",19,1159.00,61.00
2024-08-01,Pro,"At Risk",10,581.00,58.10
2025-01-01,Pro,Churned,29,1638.00,56.48
2023-09-01,Pro,Churned,31,1729.00,55.77
2023-09-01,Basic,Churned,31,634.00,20.45
2024-09-01,Pro,Churned,19,1146.00,60.32
2024-02-01,Pro,Churned,18,1061.00,58.94
2023-10-01,Basic,"At Risk",25,468.00,18.72
2024-11-01,Basic,Churned,38,777.00,20.45
2024-09-01,Pro,Active,67,4116.00,61.43
2024-06-01,Pro,Churned,26,1413.00,54.35
2023-08-01,Basic,Churned,38,746.00,19.63
2024-02-01,Enterprise,"At Risk",6,1264.00,210.67
2025-11-01,Pro,"At Risk",19,1158.00,60.95
2025-07-01,Pro,Churned,19,1149.00,60.47
2023-12-01,Pro,"At Risk",14,865.00,61.79
2024-09-01,Basic,Churned,40,795.00,19.88
2025-02-01,Pro,"At Risk",19,1169.00,61.53
2025-12-01,Basic,Active,94,1943.00,20.67
2025-08-01,Basic,"At Risk",23,471.00,20.48
2025-02-01,Basic,Churned,28,556.00,19.86
2024-01-01,Basic,"At Risk",22,398.00,18.09
2024-07-01,Pro,Active,69,4238.00,61.42
2025-05-01,Pro,Churned,31,1945.00,62.74
2024-12-01,Basic,"At Risk",24,439.00,18.29
2025-02-01,Pro,Active,47,2893.00,61.55
2025-05-01,Basic,Churned,30,607.00,20.23
2024-02-01,Pro,"At Risk",14,851.00,60.79
2023-04-01,Basic,Churned,38,755.00,19.87
2024-05-01,Basic,Active,102,1998.00,19.59
2025-06-01,Pro,Churned,23,1302.00,56.61
2024-11-01,Pro,Active,55,3214.00,58.44
2024-11-01,Pro,"At Risk",16,959.00,59.94
2025-03-01,Basic,Churned,39,834.00,21.38
2025-05-01,Enterprise,Active,18,4040.00,224.44
2023-10-01,Pro,Churned,34,2100.00,61.76
2024-04-01,Pro,"At Risk",12,605.00,50.42
2023-03-01,Basic,Churned,46,906.00,19.70
2025-07-01,Basic,Churned,40,776.00,19.40
2024-03-01,Pro,Active,72,4148.00,57.61
2023-10-01,Basic,Churned,36,658.00,18.28
2024-08-01,Basic,"At Risk",31,617.00,19.90
2024-04-01,Enterprise,Active,11,2042.00,185.64
2025-04-01,Enterprise,Churned,9,1978.00,219.78
2023-02-01,Enterprise,Churned,6,1110.00,185.00
2024-06-01,Pro,Active,54,3359.00,62.20
2024-11-01,Pro,Churned,12,799.00,66.58
2023-02-01,Pro,"At Risk",11,573.00,52.09
2025-10-01,Enterprise,"At Risk",6,1152.00,192.00
2025-11-01,Basic,"At Risk",18,357.00,19.83
2025-01-01,Enterprise,Active,9,1802.00,200.22
2025-06-01,Basic,Churned,32,627.00,19.59
2023-05-01,Pro,Churned,29,1696.00,58.48
2025-08-01,Basic,Churned,36,700.00,19.44
2025-03-01,Pro,Churned,27,1575.00,58.33
2025-12-01,Enterprise,Active,13,2776.00,213.54
2024-01-01,Pro,"At Risk",11,676.00,61.45
2025-07-01,Basic,"At Risk",17,324.00,19.06
2024-04-01,Basic,"At Risk",21,422.00,20.10
2023-04-01,Basic,"At Risk",22,436.00,19.82
2025-06-01,Basic,"At Risk",31,674.00,21.74
2025-09-01,Pro,Active,54,3112.00,57.63
2024-05-01,Pro,Active,59,3552.00,60.20
2025-04-01,Enterprise,"At Risk",4,949.00,237.25
2025-05-01,Basic,"At Risk",18,353.00,19.61
2023-03-01,Pro,"At Risk",14,878.00,62.71
2023-05-01,Pro,Active,67,3823.00,57.06
2023-04-01,Enterprise,Churned,9,1893.00,210.33
2025-12-01,Basic,"At Risk",22,411.00,18.68
2024-02-01,Enterprise,Churned,7,1545.00,220.71
2025-12-01,Basic,Churned,27,554.00,20.52
2023-01-01,Pro,Churned,20,1228.00,61.40
2024-09-01,Basic,"At Risk",22,421.00,19.14
2023-01-01,Enterprise,Active,10,1968.00,196.80
2023-03-01,Basic,"At Risk",24,448.00,18.67
2023-02-01,Enterprise,Active,17,3536.00,208.00
2023-10-01,Enterprise,Active,13,2639.00,203.00
2024-05-01,Pro,"At Risk",18,989.00,54.94
2024-01-01,Enterprise,Active,24,5399.00,224.96
2025-12-01,Pro,"At Risk",14,870.00,62.14
2025-10-01,Pro,Active,53,3225.00,60.85
2024-10-01,Enterprise,Active,20,3892.00,194.60
2023-09-01,Pro,"At Risk",16,962.00,60.13
2025-01-01,Pro,"At Risk",24,1356.00,56.50
2023-05-01,Pro,"At Risk",10,670.00,67.00
2025-07-01,Pro,Active,41,2545.00,62.07
2023-05-01,Enterprise,Active,20,4103.00,205.15
2023-02-01,Basic,Churned,36,726.00,20.17
2025-04-01,Basic,"At Risk",23,440.00,19.13
2023-01-01,Pro,"At Risk",16,982.00,61.38
2024-01-01,Basic,Churned,40,855.00,21.38
2024-03-01,Enterprise,Churned,10,1719.00,171.90
2024-06-01,Basic,"At Risk",20,379.00,18.95
2023-07-01,Enterprise,"At Risk",4,894.00,223.50
2023-02-01,Enterprise,"At Risk",3,641.00,213.67
2024-05-01,Basic,"At Risk",17,324.00,19.06
2025-05-01,Enterprise,"At Risk",6,1304.00,217.33
2025-08-01,Enterprise,Active,18,3991.00,221.72
2024-05-01,Enterprise,Churned,11,2007.00,182.45
2025-09-01,Basic,"At Risk",18,379.00,21.06
2023-12-01,Basic,"At Risk",25,494.00,19.76
2025-05-01,Pro,"At Risk",11,673.00,61.18
2024-06-01,Pro,"At Risk",16,921.00,57.56
2025-03-01,Pro,"At Risk",10,526.00,52.60
2023-06-01,Pro,Churned,24,1392.00,58.00
2023-07-01,Enterprise,Churned,6,1508.00,251.33
2023-11-01,Basic,"At Risk",15,282.00,18.80
2024-09-01,Pro,"At Risk",15,876.00,58.40
2024-07-01,Pro,Churned,17,1010.00,59.41
2023-05-01,Enterprise,Churned,7,1719.00,245.57
2025-01-01,Basic,Churned,39,766.00,19.64
2023-03-01,Pro,Churned,26,1579.00,60.73
2024-03-01,Basic,Churned,29,596.00,20.55
2024-04-01,Pro,Active,55,3344.00,60.80
2023-11-01,Enterprise,Active,14,3029.00,216.36
2023-06-01,Pro,"At Risk",13,710.00,54.62
2025-02-01,Pro,Churned,18,1125.00,62.50
2025-02-01,Enterprise,Churned,4,1079.00,269.75
2024-05-01,Basic,Churned,35,675.00,19.29
2023-07-01,Enterprise,Active,15,3417.00,227.80
2024-03-01,Basic,"At Risk",33,632.00,19.15
2023-08-01,Basic,"At Risk",29,556.00,19.17
2023-04-01,Enterprise,"At Risk",3,576.00,192.00
2023-09-01,Enterprise,"At Risk",5,1101.00,220.20
2023-11-01,Pro,Churned,31,1919.00,61.90
2024-12-01,Enterprise,Active,17,3274.00,192.59
2023-08-01,Enterprise,Active,15,2855.00,190.33
2024-10-01,Enterprise,Churned,7,1721.00,245.86
2024-01-01,Enterprise,"At Risk",6,1134.00,189.00
2025-10-01,Enterprise,Active,15,3039.00,202.60
2023-02-01,Pro,Churned,23,1454.00,63.22
2023-03-01,Enterprise,Active,12,2972.00,247.67
2023-03-01,Enterprise,Churned,12,2317.00,193.08
2025-08-01,Pro,"At Risk",9,551.00,61.22
2025-08-01,Pro,Churned,14,820.00,58.57
2025-11-01,Enterprise,"At Risk",2,508.00,254.00
2025-07-01,Pro,"At Risk",15,857.00,57.13
2024-06-01,Enterprise,Active,20,4588.00,229.40
2023-06-01,Enterprise,Churned,7,1427.00,203.86
2025-04-01,Pro,Churned,14,842.00,60.14
2023-01-01,Enterprise,"At Risk",9,2061.00,229.00
2024-03-01,Pro,"At Risk",16,999.00,62.44
2024-09-01,Enterprise,Churned,10,2088.00,208.80
2024-06-01,Enterprise,Churned,6,1271.00,211.83
2024-12-01,Enterprise,Churned,9,1711.00,190.11
2023-08-01,Pro,Churned,23,1392.00,60.52
2025-08-01,Enterprise,"At Risk",4,784.00,196.00
2023-08-01,Pro,"At Risk",9,466.00,51.78
2025-10-01,Pro,"At Risk",14,894.00,63.86
2025-01-01,Enterprise,Churned,7,1463.00,209.00
2025-06-01,Pro,"At Risk",11,623.00,56.64
2025-01-01,Basic,"At Risk",24,490.00,20.42
2024-03-01,Enterprise,Active,16,3267.00,204.19
2025-06-01,Enterprise,"At Risk",4,831.00,207.75
2024-10-01,Pro,"At Risk",22,1299.00,59.05
2023-10-01,Enterprise,Churned,4,911.00,227.75
2023-01-01,Enterprise,Churned,7,1313.00,187.57
2024-03-01,Enterprise,"At Risk",6,1105.00,184.17
2024-08-01,Enterprise,Active,14,3035.00,216.79
2025-10-01,Enterprise,Churned,6,1059.00,176.50
2024-02-01,Basic,"At Risk",26,476.00,18.31
2024-04-01,Enterprise,Churned,10,2276.00,227.60
2024-06-01,Enterprise,"At Risk",6,954.00,159.00
2025-09-01,Pro,"At Risk",11,737.00,67.00
2024-11-01,Enterprise,"At Risk",3,513.00,171.00
2025-03-01,Enterprise,Active,14,3203.00,228.79
2024-12-01,Pro,Churned,13,731.00,56.23
2024-08-01,Enterprise,Churned,9,1802.00,200.22
2025-07-01,Enterprise,"At Risk",3,738.00,246.00
2023-04-01,Pro,"At Risk",13,717.00,55.15
2025-04-01,Pro,"At Risk",10,606.00,60.60
2023-04-01,Enterprise,Active,15,3297.00,219.80
2024-12-01,Enterprise,"At Risk",2,456.00,228.00
2024-08-01,Enterprise,"At Risk",2,502.00,251.00
2023-08-01,Enterprise,"At Risk",5,942.00,188.40
2025-03-01,Enterprise,Churned,2,457.00,228.50
2023-12-01,Enterprise,"At Risk",4,746.00,186.50
2025-01-01,Enterprise,"At Risk",2,360.00,180.00
2025-03-01,Enterprise,"At Risk",5,1287.00,257.40
2024-05-01,Enterprise,Active,13,2732.00,210.15
2024-09-01,Enterprise,Active,15,3158.00,210.53
2025-12-01,Enterprise,"At Risk",3,541.00,180.33
2023-09-01,Enterprise,Active,11,2327.00,211.55
2024-07-01,Enterprise,"At Risk",8,1446.00,180.75
2024-07-01,Enterprise,Churned,6,1074.00,179.00
2025-02-01,Enterprise,"At Risk",5,1001.00,200.20
2023-06-01,Enterprise,"At Risk",5,1121.00,224.20
2025-11-01,Enterprise,Churned,4,1054.00,263.50
2025-06-01,Enterprise,Churned,6,1420.00,236.67
2023-08-01,Enterprise,Churned,8,1823.00,227.88
2024-09-01,Enterprise,"At Risk",4,964.00,241.00
2025-12-01,Enterprise,Churned,4,931.00,232.75
2024-01-01,Enterprise,Churned,7,1216.00,173.71
2023-05-01,Enterprise,"At Risk",5,1118.00,223.60
2023-12-01,Enterprise,Churned,6,1245.00,207.50
2025-07-01,Enterprise,Churned,6,1248.00,208.00
2023-11-01,Enterprise,"At Risk",3,755.00,251.67
2024-05-01,Enterprise,"At Risk",3,819.00,273.00
2024-04-01,Enterprise,"At Risk",4,797.00,199.25
2025-09-01,Enterprise,"At Risk",3,793.00,264.33
2024-10-01,Enterprise,"At Risk",2,471.00,235.50
2023-10-01,Enterprise,"At Risk",3,561.00,187.00
2023-11-01,Enterprise,Churned,3,531.00,177.00
2025-09-01,Enterprise,Churned,2,451.00,225.50
